dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000290,0.300000,0.000198,0.019841,0.992063,49.603175,6.282219
0.020000,0.000251,0.300000,0.000237,0.001949,-0.894596,-94.332950,6.282349
0.020000,0.000173,0.300000,0.000315,0.003900,0.097544,49.606982,6.282609
0.020000,0.000056,0.300000,0.000432,0.005854,0.097697,0.007620,6.282999
0.020000,0.001939,0.300000,0.002316,0.094165,4.415529,215.891611,0.000335
0.020000,0.005711,0.300003,0.006088,0.188599,4.721696,15.308385,0.000987
0.020000,0.010238,0.300009,0.010615,0.226353,1.887724,-141.698610,0.001771
0.020000,0.015519,0.300021,0.015895,0.264022,1.883423,-0.215043,0.002689
0.020000,0.021552,0.300040,0.021929,0.301684,1.883101,-0.016102,0.003740
0.020000,0.028339,0.300070,0.028715,0.339322,1.881908,-0.059677,0.004927
0.020000,0.035878,0.300112,0.036255,0.376980,1.882892,0.049215,0.006251
0.020000,0.044170,0.300170,0.044547,0.414583,1.880172,-0.136027,0.007713
0.020000,0.053212,0.300247,0.053590,0.452148,1.878228,-0.097174,0.009316
0.020000,0.063005,0.300346,0.063383,0.489688,1.877038,-0.059514,0.011060
0.020000,0.073550,0.300473,0.073928,0.527241,1.877619,0.029066,0.012949
0.020000,0.084843,0.300631,0.085222,0.564711,1.873489,-0.206510,0.014984
0.020000,0.096884,0.300824,0.097265,0.602145,1.871721,-0.088376,0.017169
0.020000,0.109673,0.301059,0.110057,0.639563,1.870904,-0.040882,0.019505
0.020000,0.123209,0.301340,0.123595,0.676942,1.868968,-0.096773,0.021995
0.020000,0.137489,0.301673,0.137880,0.714211,1.863416,-0.277630,0.024644
0.020000,0.152515,0.302064,0.152910,0.751523,1.865624,0.110398,0.027454
0.020000,0.168283,0.302521,0.168684,0.788720,1.859834,-0.289503,0.030429
0.020000,0.184791,0.303049,0.185202,0.825866,1.857280,-0.127690,0.033572
0.020000,0.202040,0.303657,0.202461,0.862955,1.854470,-0.140485,0.036888
0.020000,0.220026,0.304352,0.220460,0.899967,1.850599,-0.193558,0.040381
0.020000,0.238748,0.305143,0.239199,0.936941,1.848720,-0.093944,0.044056
0.020000,0.258204,0.306038,0.258675,0.973819,1.843866,-0.242715,0.047918
0.020000,0.278391,0.307047,0.278888,1.010628,1.840490,-0.168790,0.051972
0.020000,0.299307,0.308180,0.299835,1.047332,1.835183,-0.265332,0.056224
0.020000,0.320949,0.309446,0.321514,1.083967,1.831758,-0.171280,0.060679
0.020000,0.343315,0.310857,0.343924,1.120510,1.827120,-0.231899,0.065343
0.020000,0.366401,0.312424,0.367063,1.156935,1.821248,-0.293598,0.070224
0.020000,0.390203,0.314159,0.390928,1.193263,1.816438,-0.240471,0.075329
0.020000,0.414718,0.316075,0.415518,1.229493,1.811492,-0.247331,0.080664
0.020000,0.439942,0.318185,0.440830,1.265603,1.805491,-0.300041,0.086239
0.020000,0.465870,0.320502,0.466861,1.301570,1.798374,-0.355859,0.092060
0.020000,0.492497,0.323042,0.493610,1.337414,1.792161,-0.310645,0.098137
0.020000,0.519819,0.325819,0.521072,1.373104,1.784513,-0.382390,0.104478
0.020000,0.547829,0.328850,0.549246,1.408702,1.779921,-0.229625,0.111095
0.020000,0.576521,0.332151,0.578127,1.444064,1.768060,-0.593021,0.117997
0.020000,0.605890,0.335739,0.607714,1.479353,1.764468,-0.179634,0.125194
0.020000,0.635927,0.339633,0.638002,1.514408,1.752730,-0.586865,0.132699
0.020000,0.666624,0.343853,0.668988,1.549285,1.743855,-0.443747,0.140524
0.020000,0.697973,0.348418,0.700668,1.584016,1.736559,-0.364834,0.148680
0.020000,0.729966,0.353348,0.733038,1.618498,1.724118,-0.622053,0.157181
0.020000,0.762591,0.358667,0.766094,1.652808,1.715470,-0.432374,0.166042
0.020000,0.795838,0.364396,0.799832,1.686871,1.703162,-0.615416,0.175277
0.020000,0.829696,0.370559,0.834246,1.720715,1.692231,-0.546528,0.184901
0.020000,0.864152,0.377182,0.869332,1.754305,1.679456,-0.638736,0.194929
0.020000,0.899192,0.384290,0.905086,1.787689,1.669244,-0.510606,0.205380
0.020000,0.934801,0.391910,0.941501,1.820754,1.653226,-0.800895,0.216270
0.020000,0.970963,0.400070,0.978573,1.853585,1.641539,-0.584349,0.227617
0.020000,1.007662,0.408798,1.016296,1.886142,1.627882,-0.682882,0.239441
0.020000,1.044879,0.418126,1.054663,1.918389,1.612342,-0.777007,0.251759
0.020000,1.082593,0.428084,1.093670,1.950326,1.596841,-0.775031,0.264593
0.020000,1.120783,0.438705,1.133309,1.981968,1.582098,-0.737164,0.277963
0.020000,1.159426,0.450022,1.173576,2.013322,1.567690,-0.720382,0.291889
0.020000,1.198498,0.462070,1.214463,2.044353,1.551545,-0.807239,0.306392
0.020000,1.237971,0.474885,1.255963,2.075031,1.533911,-0.881712,0.321494
0.020000,1.277817,0.488503,1.298072,2.105432,1.520068,-0.692168,0.337215
0.020000,1.318005,0.502962,1.340782,2.135495,1.503144,-0.846180,0.353578
0.020000,1.358502,0.518300,1.384087,2.165255,1.487984,-0.758020,0.370600
0.020000,1.399275,0.534558,1.427982,2.194744,1.474441,-0.677119,0.388304
0.020000,1.440125,0.551705,1.472284,2.215112,1.018441,-22.800036,0.406632
0.020000,1.480697,0.569629,1.516640,2.217775,0.133101,-44.266958,0.425445
0.020000,1.520810,0.588270,1.560873,2.211644,-0.306523,-21.981232,0.444667
0.020000,1.560446,0.607634,1.604985,2.205623,-0.301061,0.273112,0.464290
0.020000,1.599585,0.627725,1.648980,2.199742,-0.294018,0.352170,0.484304
0.020000,1.638210,0.648549,1.692861,2.194036,-0.285322,0.434800,0.504699
0.020000,1.676302,0.670110,1.736631,2.188541,-0.274753,0.528427,0.525460
0.020000,1.713845,0.692409,1.780298,2.183309,-0.261589,0.658208,0.546570
0.020000,1.750820,0.715450,1.823864,2.178344,-0.248264,0.666244,0.568011
0.020000,1.787212,0.739233,1.867339,2.173700,-0.232177,0.804361,0.589761
0.020000,1.823004,0.763760,1.910727,2.169438,-0.213127,0.952492,0.611796
0.020000,1.858180,0.789028,1.954038,2.165556,-0.194118,0.950461,0.634089
0.020000,1.892727,0.815036,1.997281,2.162112,-0.172187,1.096520,0.656612
0.020000,1.926629,0.841783,2.040463,2.159129,-0.149123,1.153225,0.679333
0.020000,1.959874,0.869264,2.083596,2.156639,-0.124530,1.229612,0.702221
0.020000,1.992449,0.897475,2.126689,2.154660,-0.098922,1.280422,0.725240
0.020000,2.024344,0.926410,2.169754,2.153221,-0.071969,1.347636,0.748355
0.020000,2.055548,0.956064,2.212800,2.152325,-0.044772,1.359848,0.771530
0.020000,2.086050,0.986429,2.255840,2.151991,-0.016723,1.402469,0.794728
0.020000,2.115844,1.017496,2.298884,2.152216,0.011274,1.399872,0.817910
0.020000,2.144920,1.049256,2.341944,2.153002,0.039269,1.399730,0.841040
0.020000,2.173274,1.081699,2.385031,2.154335,0.066679,1.370503,0.864081
0.020000,2.200898,1.114814,2.428155,2.156214,0.093933,1.362699,0.886997
0.020000,2.227788,1.148589,2.471327,2.158598,0.119196,1.263171,0.909753
0.020000,2.253942,1.183010,2.514557,2.161497,0.144956,1.287956,0.932318
0.020000,2.279355,1.218064,2.557854,2.164841,0.167181,1.111263,0.954658
