dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000198,0.019841,0.992063,49.603175,6.282219
0.020000,0.000000,0.000000,0.000992,0.059524,1.984127,49.603175,6.282349
0.020000,0.000000,0.000000,0.002579,0.099206,1.984127,0.000000,6.282609
0.020000,0.000000,0.000000,0.004960,0.138889,1.984127,0.000000,6.282999
0.020000,0.002040,0.000000,0.008135,0.178571,1.984127,-0.000000,0.000335
0.020000,0.006007,0.000003,0.012103,0.218254,1.984127,0.000000,0.000987
0.020000,0.010770,0.000010,0.016865,0.257937,1.984127,-0.000000,0.001771
0.020000,0.016325,0.000022,0.022421,0.297619,1.984127,0.000000,0.002689
0.020000,0.022674,0.000042,0.028770,0.337302,1.984127,-0.000000,0.003740
0.020000,0.029817,0.000073,0.035913,0.376984,1.984127,0.000000,0.004927
0.020000,0.037753,0.000118,0.043849,0.416667,1.984127,-0.000000,0.006251
0.020000,0.046484,0.000179,0.052579,0.456349,1.984127,0.000000,0.007713
0.020000,0.056007,0.000260,0.062103,0.496032,1.984127,-0.000000,0.009316
0.020000,0.066323,0.000365,0.072421,0.535714,1.984127,0.000000,0.011060
0.020000,0.077434,0.000498,0.083532,0.575397,1.984127,-0.000000,0.012949
0.020000,0.089338,0.000664,0.095437,0.615079,1.984127,0.000000,0.014984
0.020000,0.102034,0.000869,0.108135,0.654762,1.984127,0.000000,0.017169
0.020000,0.115524,0.001116,0.121627,0.694444,1.984127,-0.000000,0.019505
0.020000,0.129807,0.001412,0.135913,0.734127,1.984127,0.000000,0.021995
0.020000,0.144882,0.001764,0.150992,0.773810,1.984127,-0.000000,0.024644
0.020000,0.160750,0.002177,0.166865,0.813492,1.984127,0.000000,0.027454
0.020000,0.177410,0.002660,0.183532,0.853175,1.984127,0.000000,0.030429
0.020000,0.194861,0.003218,0.200992,0.892857,1.984127,-0.000000,0.033572
0.020000,0.213104,0.003861,0.219246,0.932540,1.984127,0.000000,0.036888
0.020000,0.232137,0.004597,0.238294,0.972222,1.984127,0.000000,0.040381
0.020000,0.251960,0.005434,0.258135,1.011905,1.984127,0.000000,0.044056
0.020000,0.272574,0.006383,0.278770,1.051587,1.984127,0.000000,0.047918
0.020000,0.293976,0.007452,0.300198,1.091270,1.984127,0.000000,0.051972
0.020000,0.316165,0.008654,0.322421,1.130952,1.984127,-0.000000,0.056224
0.020000,0.339142,0.009998,0.345437,1.170635,1.984127,0.000000,0.060679
0.020000,0.362904,0.011497,0.369246,1.210317,1.984127,-0.000000,0.065343
0.020000,0.387451,0.013164,0.393849,1.250000,1.984127,0.000000,0.070224
0.020000,0.412780,0.015010,0.419246,1.289683,1.984127,0.000000,0.075329
0.020000,0.438891,0.017051,0.445437,1.329365,1.984127,-0.000000,0.080664
0.020000,0.465781,0.019300,0.472421,1.369048,1.984127,0.000000,0.086239
0.020000,0.493449,0.021773,0.500198,1.408730,1.984127,-0.000000,0.092060
0.020000,0.521891,0.024486,0.528770,1.448413,1.984127,0.000000,0.098137
