dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000290,-0.300000,0.000198,0.019841,0.992063,49.603175,6.282219
0.020000,-0.000251,-0.300000,0.000237,0.001949,-0.894596,-94.332950,6.282349
0.020000,-0.000173,-0.300000,0.000315,0.003900,0.097544,49.606982,6.282609
0.020000,-0.000056,-0.300000,0.000432,0.005854,0.097697,0.007620,6.282999
0.020000,0.002140,-0.300000,0.002628,0.109795,5.197048,254.967569,0.000335
0.020000,0.006303,-0.299997,0.006792,0.208163,4.918397,-13.932547,0.000987
0.020000,0.011301,-0.299990,0.011789,0.249887,2.086207,-141.609488,0.001771
0.020000,0.017132,-0.299977,0.017620,0.291546,2.082922,-0.164279,0.002689
0.020000,0.023797,-0.299956,0.024285,0.333231,2.084281,0.067954,0.003740
0.020000,0.031295,-0.299923,0.031784,0.374930,2.084935,0.032719,0.004927
0.020000,0.039629,-0.299877,0.040117,0.416695,2.088260,0.166235,0.006251
0.020000,0.048798,-0.299812,0.049286,0.458450,2.087760,-0.025008,0.007713
0.020000,0.058802,-0.299727,0.059291,0.500218,2.088392,0.031634,0.009316
0.020000,0.069641,-0.299617,0.070131,0.542021,2.090141,0.087421,0.011060
0.020000,0.081319,-0.299477,0.081809,0.583904,2.094144,0.200147,0.012949
0.020000,0.093833,-0.299302,0.094325,0.625768,2.093230,-0.045661,0.014984
0.020000,0.107185,-0.299087,0.107678,0.667673,2.095242,0.100577,0.017169
0.020000,0.121375,-0.298827,0.121871,0.709646,2.098629,0.169369,0.019505
0.020000,0.136405,-0.298515,0.136904,0.751668,2.101112,0.124133,0.021995
0.020000,0.152274,-0.298145,0.152778,0.793667,2.099920,-0.059578,0.024644
0.020000,0.168985,-0.297710,0.169494,0.835821,2.107711,0.389544,0.027454
0.020000,0.186537,-0.297202,0.187053,0.877961,2.106988,-0.036181,0.030429
0.020000,0.204931,-0.296613,0.205457,0.920166,2.110249,0.163082,0.033572
0.020000,0.224168,-0.295935,0.224705,0.962438,2.113634,0.169221,0.036888
0.020000,0.244248,-0.295159,0.244801,1.004763,2.116259,0.131253,0.040381
0.020000,0.265173,-0.294275,0.265745,1.047194,2.121553,0.264729,0.044056
0.020000,0.286944,-0.293273,0.287538,1.089674,2.123990,0.121834,0.047918
0.020000,0.309560,-0.292143,0.310183,1.132246,2.128565,0.228762,0.051972
0.020000,0.333023,-0.290872,0.333681,1.174875,2.131487,0.146075,0.056224
0.020000,0.357334,-0.289450,0.358033,1.217616,2.137051,0.278209,0.060679
0.020000,0.382493,-0.287862,0.383242,1.260453,2.141818,0.238342,0.065343
0.020000,0.408501,-0.286097,0.409309,1.303368,2.145783,0.198241,0.070224
0.020000,0.435357,-0.284139,0.436237,1.346400,2.151559,0.288801,0.075329
0.020000,0.463064,-0.281974,0.464028,1.389556,2.157831,0.313598,0.080664
0.020000,0.491621,-0.279585,0.492685,1.432828,2.163593,0.288106,0.086239
0.020000,0.521028,-0.276957,0.522209,1.476204,2.168800,0.260351,0.092060
0.020000,0.551285,-0.274071,0.552603,1.519719,2.175775,0.348759,0.098137
0.020000,0.582392,-0.270909,0.583871,1.563357,2.181900,0.306275,0.104478
0.020000,0.614349,-0.267451,0.616015,1.607204,2.192328,0.521359,0.111095
0.020000,0.647155,-0.263677,0.649037,1.651110,2.195319,0.149557,0.117997
0.020000,0.680810,-0.259565,0.682943,1.695283,2.208647,0.666393,0.125194
0.020000,0.715313,-0.255092,0.717734,1.739555,2.213588,0.247046,0.132699
0.020000,0.750661,-0.250233,0.753414,1.784010,2.222762,0.458713,0.140524
0.020000,0.786853,-0.244963,0.789988,1.828706,2.234766,0.600190,0.148680
0.020000,0.823887,-0.239255,0.827459,1.873543,2.241871,0.355284,0.157181
0.020000,0.861759,-0.233081,0.865831,1.918632,2.254424,0.627651,0.166042
0.020000,0.900467,-0.226411,0.905110,1.963908,2.263829,0.470241,0.175277
0.020000,0.940006,-0.219213,0.945298,2.009427,2.275944,0.605749,0.184901
0.020000,0.980370,-0.211455,0.986401,2.055168,2.287035,0.554536,0.194929
0.020000,1.021556,-0.203100,1.028426,2.101213,2.302267,0.761629,0.205380
0.020000,1.063554,-0.194113,1.071375,2.147449,2.311809,0.477052,0.216270
0.020000,1.106358,-0.184455,1.115255,2.194000,2.327545,0.786834,0.227617
0.020000,1.149958,-0.174084,1.160072,2.240841,2.342039,0.724697,0.239441
0.020000,1.194344,-0.162959,1.205830,2.287947,2.355302,0.663136,0.251759
0.020000,1.239503,-0.151035,1.252537,2.335337,2.369517,0.710759,0.264593
0.020000,1.285421,-0.138265,1.300198,2.383046,2.385440,0.796133,0.277963
0.020000,1.332083,-0.124599,1.348820,2.431095,2.402432,0.849604,0.291889
0.020000,1.379470,-0.109987,1.398409,2.479451,2.417793,0.768059,0.306392
0.020000,1.427561,-0.094374,1.448971,2.528081,2.431537,0.687188,0.321494
0.020000,1.476333,-0.077705,1.500512,2.577077,2.449796,0.912954,0.337215
0.020000,1.525758,-0.059922,1.553039,2.626354,2.463839,0.702141,0.353578
0.020000,1.575807,-0.040966,1.606558,2.675937,2.479129,0.764507,0.370600
0.020000,1.626447,-0.020774,1.661075,2.725837,2.495007,0.793922,0.388304
0.020000,1.677435,0.000630,1.716374,2.764941,1.955201,-26.990329,0.406632
0.020000,1.728333,0.023116,1.772017,2.782171,0.861514,-54.684323,0.425445
0.020000,1.778905,0.046618,1.827783,2.788285,0.305689,-27.791267,0.444667
0.020000,1.829118,0.071150,1.883669,2.794296,0.300542,-0.257328,0.464290
0.020000,1.878940,0.096726,1.939672,2.800169,0.293649,-0.344688,0.484304
0.020000,1.928336,0.123357,1.995789,2.805867,0.284894,-0.437711,0.504699
0.020000,1.977269,0.151054,2.052016,2.811354,0.274395,-0.524969,0.525460
0.020000,2.025701,0.179822,2.108349,2.816614,0.262968,-0.571347,0.546570
0.020000,2.073594,0.209667,2.164780,2.821562,0.247409,-0.777970,0.568011
0.020000,2.120909,0.240589,2.221304,2.826183,0.231062,-0.817316,0.589761
0.020000,2.167607,0.272589,2.277913,2.830469,0.214284,-0.838891,0.611796
0.020000,2.213647,0.305661,2.334600,2.834335,0.193309,-1.048784,0.634089
0.020000,2.258988,0.339797,2.391355,2.837779,0.172220,-1.054455,0.656612
0.020000,2.303593,0.374988,2.448170,2.840759,0.148995,-1.161245,0.679333
0.020000,2.347423,0.411218,2.505035,2.843250,0.124535,-1.222981,0.702221
0.020000,2.390438,0.448470,2.561940,2.845223,0.098629,-1.295282,0.725240
0.020000,2.432605,0.486725,2.618873,2.846667,0.072240,-1.319487,0.748355
0.020000,2.473887,0.525957,2.675824,2.847557,0.044497,-1.387129,0.771530
0.020000,2.514254,0.566141,2.732782,2.847894,0.016832,-1.383265,0.794728
0.020000,2.553675,0.607247,2.789736,2.847668,-0.011299,-1.406526,0.817910
0.020000,2.592122,0.649243,2.846673,2.846885,-0.039166,-1.393365,0.841040
0.020000,2.629573,0.692095,2.903584,2.845547,-0.066883,-1.385829,0.864081
0.020000,2.666005,0.735768,2.960458,2.843682,-0.093250,-1.318382,0.886997
0.020000,2.701400,0.780224,3.017284,2.841280,-0.120095,-1.342258,0.909753
0.020000,2.735743,0.825425,3.074052,2.838408,-0.143603,-1.175381,0.932318
